"Ref","Ref Eleitor","Data Cadastro","Data Atualização","Data Solicitação","Descrição","Status","Categoria","Origem","Escritório","Secretaria"
"47168","215538","2025-07-03 10:30:59","2025-07-03 10:30:59","2025-05-22","_Solicitou que fisesse uma visita na escola do CAIC, escola boa mas precisa de uns reajustes 
_Foi feita a visita e passada para os órgãos responsáveis para resolverem os problemas","Concluído","Instalação de Creches e Escolas","WhatsApp","Principal","Secretaria de Educação"
"47169","215539","2025-07-03 10:41:01","2025-07-03 10:41:01","2025-05-22","_Solicitou consulta médica foi marcada para o dia 22/05/25 as 13:00hs UBS Dr Rebeca","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47172","214101","2025-07-03 10:51:08","2025-07-03 10:51:08","2025-05-22","_Solicitou que fizesse uma visita no hospital,estava internado esperando para fazer uma cirurgia no Fêmur
_Foi feita a visita e feita a cirurgia","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47173","213905","2025-07-03 10:55:24","2025-07-03 10:55:24","2025-05-23","_Solicitou o pedido de uma vaga no CTI para seu avô Josias Pulino Carneiro DN 24/05/1941
_Foi transferido para o CTI","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47174","215312","2025-07-03 10:58:49","2025-07-03 10:58:49","2025-05-23","_Pediu doação para festa da igreja em Itamuri
_Foi doado pix de 30,00 reais","Concluído","Outros","WhatsApp","Principal","Secretaria do Lazer"
"47176","215544","2025-07-03 11:04:37","2025-07-03 11:04:37","2025-05-23","_Solicitou o pedido de cesta básica foi encaminhado para o CRAS e feito o atendimento","Concluído","Cestas Básicas","WhatsApp","Principal","Ação Social"
"47178","215549","2025-07-03 11:15:43","2025-07-03 11:15:43","2025-05-26","_Solicitou o pedido que arrumasse a estrada do Sítio do Fundão e as trocas de manilhas 5 manilhas estradas de difícil acesso
_Solicitou a troca de 5 manilhas Fazenda da Onça Do Sr Zezinho Galdino
_Foi feita indicação e aporovada no dia 26/05/2025","aguardando execuçao","Outros","Pessoal","Principal","Secretaria de Obras"
"47180","215559","2025-07-03 11:23:28","2025-07-03 11:23:28","2025-05-26","_Solicitou que adiantasse o atendimento médico para Davi Luiz Motta
_Foi marcado para o dia 28/05/2025 as 13hs no CAPS Dr Humberto","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47181","213307","2025-07-03 11:42:42","2025-07-03 11:42:42","2025-05-26","_Solicitou que fisesse uma visita no distrito de Macuco para ver a respeito da capela mortuária
_Foi macada a visita para o dia 03/07/2025","Concluído","Patrocínio Cultural","WhatsApp","Principal","Secretaria de Obras"
"47182","215579","2025-07-03 11:52:32","2025-07-03 11:52:32","2025-05-27","_Solicitou que o cata treco passase para pegar entulhos foi encaminhado para os responsáveis e realizado na mesma semana","Concluído","Limpeza","WhatsApp","Principal","Secretaria de Obras"
"47185","215586","2025-07-03 11:56:54","2025-07-03 11:56:54","2025-05-27","_Foi feita uma indicação para troca de materias da policlinica do CAIC como (cadeira, pintura, arquivo ,mesa) materias sem condições de uso","aguardando execuçao","Outros","Pessoal","Principal","Secretaria de Obras"
"47186","215597","2025-07-03 12:03:37","2025-07-03 12:03:37","2025-05-28","_Moradores reclamando de muito rato na parte de trás da rua
_Foi passado para os responsáveis e feita a detização","Concluído","Limpeza","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"47187","215601","2025-07-03 12:08:26","2025-07-03 12:08:26","2025-05-28","_Solicitou tapa buraco na rua toda 
_Foi feita indicação do recapeamento da rua","aguardando execuçao","Asfalto","WhatsApp","Principal","Secretaria de Obras"
"47188","213607","2025-07-03 12:13:44","2025-07-03 12:13:44","2025-05-28","_Solicitou que ajudasse ela no auxilio funeral que estava em aberto,foi passado para o órgão responsavel e feito dia 02/06/2025","Concluído","Auxilio Doença","WhatsApp","Principal","Secretaria de Administração"
"47191","215607","2025-07-03 12:20:52","2025-07-03 12:20:52","2025-05-29","_Fez o pedido de doação de leite para uma criança do bairro
_Consegui uma lata de leite","Concluído","Outros","WhatsApp","Principal","Ação Social"
"47192","207205","2025-07-03 12:25:37","2025-07-03 12:25:37","2025-05-29","_Solicitou uma consulta médica com oftalmologista 
_Consulta dia 12/06/2025 as 12:00hs no Viva Vida Dr Paula","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47194","210303","2025-07-03 12:33:29","2025-07-03 12:33:29","2025-05-30","_Foi feito o pedido de cesta básica e foi passado para o CRAS responsável
_Dilza Avila Da Cunha Fonseca
_Rua Semeão Feres 430 Bairro Safira","Concluído","Cestas Básicas","WhatsApp","Principal","Ação Social"
"47197","215616","2025-07-03 12:39:14","2025-07-03 12:39:14","2025-06-02","_Pediu pra fiscalizar as podas de arvores com excesso no Bela vista
_Foi fiscalizado mas não teve como multar o responsável (falta de provas fio das câmeras cortados)","Concluído","Poda de Árvore","WhatsApp","Principal","Secretaria do Meio Ambiente"
"47202","212377","2025-07-03 13:36:11","2025-07-15 14:46:56","2025-07-02","Solicita que seja feita o corte e retirada do bambu que caiu na estrada da entrada que dá acesso ao via parque.
Já foi solicitado e será retirado no dia 03/07","Concluído","Poda de Árvore","WhatsApp","Principal","Secretaria de Obras"
"47211","215658","2025-07-03 15:45:26","2025-07-03 15:45:26","2025-06-02","Solicita caminhão cata treco na Vila Leite
Realizado a coleta","Concluído","Limpeza","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"47213","215661","2025-07-03 15:57:03","2025-07-03 15:57:03","2025-07-03","Solicita exame oftalmologista
Exame marcado para o dia 30/06 ás 12h Doutora Laís","Concluído","Exames de sangue","WhatsApp","Principal","Secretaria de Saúde"
"47218","215668","2025-07-03 16:32:44","2025-07-03 16:32:44","2025-06-03","Consulta com Urologista
Marcado para dia 03/06 ás 14h UBS Dornelas","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47219","215669","2025-07-03 16:39:28","2025-07-03 16:39:28","2025-07-03","Pede ajuda para o filho que quebrou o braço","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47221","215672","2025-07-04 09:23:00","2025-07-04 09:23:00","2025-06-04","_Solicitou iluminação nos postes perto do túnel do Dornelas 
_Foi passado para os responsáveis e serviço feito","Concluído","Iluminação","WhatsApp","Principal","Secretaria de Obras"
"47222","215673","2025-07-04 09:28:05","2025-07-04 09:28:05","2025-06-04","_Solicitou o pedido de marcação de ezames para sua esposa
_Ultrassonografia mamaria bilateral (nódulo em mama direita no quadrante inferior medial)
_Fabiana De Paula Silva DN 13/03/1987","aguardando execuçao","Exames de sangue","WhatsApp","Principal","Secretaria de Saúde"
"47223","214246","2025-07-04 09:38:24","2025-07-04 09:38:24","2025-06-04","_Os moradores solicitaram a possibilidade de colocar mini postes no CRAS de Itamuri devido o lugar muito escuro 
_Foi pedido os responsáveis e feito o serviço","Concluído","Iluminação","WhatsApp","Principal","Secretaria de Obras"
"47224","207166","2025-07-04 09:42:45","2025-07-04 09:42:45","2025-06-05","_Solicitou que marcasse os exames do Paulo César 
_Exames para fazer a vasectomia","Concluído","Exames de sangue","WhatsApp","Principal","Secretaria de Obras"
"47225","215674","2025-07-04 09:46:30","2025-07-04 09:46:30","2025-06-05","_Mãe solicitou uma consulta Fonodiologa está esperando faz tempo na fila da junta","aguardando execuçao","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47226","214246","2025-07-04 09:52:50","2025-07-04 09:52:50","2025-06-05","_Fez doação para compra de fraldas para uma irmã da igreja 
_Dinheiro entregue a pastora 60,00","Concluído","Outros","WhatsApp","Principal","Ação Social"
"47227","215680","2025-07-04 09:59:52","2025-08-15 15:48:07","2025-06-06","_Solicitou que marcasse fisioterapia 
_Vai marcar na faminas","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47229","215685","2025-07-04 10:10:13","2025-07-04 10:10:13","2025-06-09","_Foi feita uma moção de congratulação e aplausos para ele dia 16/06/2025","Concluído","Outros","WhatsApp","Principal","Secretaria de Cultura"
"47231","215723","2025-07-04 11:13:06","2025-07-04 11:13:06","2025-06-10","_Solicitou o pedido de cesta básica foi passado para o CRAS responsável e atendido
_Rua Pedro Inácio De Medeiros N°410 Vermelho","Concluído","Cestas Básicas","WhatsApp","Principal","Ação Social"
"47233","215726","2025-07-04 11:18:41","2025-07-04 11:18:41","2025-06-10","_Solicitou consulta com Oftalmologista
_Consulta dia 08/07/2025 as 7h no Viva Vida","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47238","215742","2025-07-04 11:45:01","2025-07-04 11:45:01","2025-06-10","_Solicitou uma consulta com Reumatologista 
_Consulta dia 03/07/2025 UBS São Francisco Dr Livia","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47280","215819","2025-07-04 16:22:20","2025-07-04 16:22:20","2025-05-26","Ajuda na marcação da consulta de sua prima que está com 3 nódulos na cabeça e no pulmão
Foi realizado consulta dia 10/06","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47283","215820","2025-07-04 16:32:18","2025-07-04 16:32:18","2025-05-26","Solicita que passe o carro do fumacê no Bairro Patrimônio
Foi solicitado para o setor de vigilância ambiental","Concluído","Outros","WhatsApp","Principal","Secretaria do Meio Ambiente"
"47343","214246","2025-07-08 08:26:41","2025-07-08 08:26:41","2025-05-30","_Moradores solicitou que arrumasse a estrada de Itamuri que vai até F2 estrada de chão muito ruim mais ou menos 3km","aguardando execuçao","Asfalto","WhatsApp","Principal","Secretaria de Obras"
"47344","214246","2025-07-08 08:29:15","2025-07-15 14:44:27","2025-05-30","_Solicitou aos orgãos responsáveis que colocasse minis postes no escadão da 7 de Setembro para melhor atender os que precisam de usar
Já foi solicitado a Nadine","aguardando execuçao","Iluminação","Pessoal","Principal","Secretaria de Obras"
"47345","215897","2025-07-08 08:34:19","2025-07-08 08:34:19","2025-06-02","_Solicitou um atendimento para Gilmar que está com uma ferida na perna, foi marcado um atendimento na UBS para avaliar o que possa ser","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47347","215898","2025-07-08 08:51:28","2025-07-08 08:51:28","2025-06-09","_Solicitou que fosse no HSP para verificar o motivo que não tinha feita a cirurgia do esposo devido a urgência do acidente 
_Foi feita a visita no mesmo dia e feita a cirurgia","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47350","211963","2025-07-08 09:01:05","2025-07-08 09:01:05","2025-06-11","_Solicitou um pedido de consulta mastologia
_Consulta dia 14/07/2025 as 8hs no ambulatorio","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47352","214246","2025-07-08 09:05:05","2025-07-08 09:05:05","2025-06-11","_Foi feita uma visita no distrito de Macuco onde relataram a falta de medicamentos no posto,foi passado ao setor responsável e resolvido o problema
_Dia 07/07/2025 foram todos avisados","Concluído","Medicamentos","Pessoal","Principal","Secretaria de Saúde"
"47353","214243","2025-07-08 09:08:13","2025-07-08 09:08:13","2025-06-11","_Solicitou poda de arvores em frente sua casa,arvores muito alta atrapalhando os fios
_Rua Dom pedro 1 N°08 Bairro Gaspar","aguardando execuçao","Limpeza","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"47355","214246","2025-07-08 09:12:24","2025-07-08 09:12:24","2025-06-11","_Irilanda pediu ajuda para pagar conta de agua de uma pessoa que não tinha condições,contas atrasadas
_Foi feito o pagamento 103,00 reais","Concluído","Outros","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"47357","215903","2025-07-08 09:19:01","2025-07-08 09:19:01","2025-06-11","_Solicitou que ajudasse na cirurgia de catarata já está na fila","aguardando execuçao","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47359","215905","2025-07-08 09:32:04","2025-07-08 09:32:04","2025-06-12","_Solicitou que fizesse a limpeza do ribeirão da vila leita Bairro Santa Luzia
_Foi realizada a limpeza ","Concluído","Limpeza","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"47360","212413","2025-07-08 09:35:18","2025-07-08 09:35:18","2025-06-13","-Solicitou um retorno com DR Enio para marcar cirurgia foi feita a consulta e cirurgia marcada para o dia 10/07/2025  HSP Dr Enio","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47361","215906","2025-07-08 09:39:42","2025-07-08 09:39:42","2025-06-13","_Solicitou uma consulta com Psicologo já está na fila","aguardando execuçao","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47362","215907","2025-07-08 09:45:40","2025-07-08 09:45:40","2025-06-13","_Solicitou consulta com Psicologo,já está na fila","aguardando execuçao","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47363","207115","2025-07-08 09:50:01","2025-07-08 09:50:01","2025-06-16","_Solicitou que adiantasse a consulta com urgencia foi adiantada para o dia 17/06/2025 as 13hs na UBS São Franciso Dr Livia","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47367","215910","2025-07-08 09:56:29","2025-07-08 09:56:29","2025-06-16","_Solicitou atendimento com dentista foi marcado no mesmo dia 16/06 as 13hs na UBS Gaspar","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47370","215898","2025-07-08 09:59:01","2025-07-08 09:59:01","2025-06-16","_Saber como faz para dá entrada na pensão foi repassado para ir no INSS com todos documentos e resolvido","Concluído","Auxilio Doença","WhatsApp","Principal","Secretaria de Administração"
"47374","215911","2025-07-08 10:05:23","2025-07-08 10:05:23","2025-06-16","_Solicitou o pedido de uma visita na casa do seu irmão que está em condições vulneraveis 
_Foi passado para os orgãos responsaveis","Concluído","Outros","WhatsApp","Principal","Ação Social"
"47375","208490","2025-07-08 10:09:58","2025-07-08 10:09:58","2025-06-16","_Solicitou atendimento Gastro foi macado para o dia 16/06/2025 as 12:30 Dr Josiane","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47377","214241","2025-07-08 10:14:51","2025-07-22 10:25:12","2025-06-16","_Solicitou médico para cirurgia de Fimose para o filho
_Foi passado como faz para da entrada","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47380","215914","2025-07-08 10:18:55","2025-07-08 10:18:55","2025-06-17","_Solicitou que fizesse a vistoria na sua residência que foi atingida pela queda da rua 1 de Maio","aguardando execuçao","Moradia","WhatsApp","Principal","Secretaria de Obras"
"47384","215916","2025-07-08 10:26:16","2025-07-08 10:26:16","2025-06-17","-Solicitou que adiantasse os seguintes exames
_Ultrassonografia mamaria bilateral
_Ultrassonografia transvaginal","aguardando execuçao","Exames de sangue","WhatsApp","Principal","Secretaria de Saúde"
"47396","215934","2025-07-08 11:28:59","2025-07-08 11:28:59","2025-06-17","_Solicitou consulta Psiquiatra para o sogro 
_Dr Guilherme","aguardando execuçao","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47397","215935","2025-07-08 11:33:48","2025-07-08 11:33:48","2025-06-17","_Solicitou que havia postes apagados na Br Próximo ao Bairro Marambaia, foi encaminhado aos responsaveis e atendido o pedido","Concluído","Iluminação","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"47398","215936","2025-07-08 11:36:55","2025-07-08 11:36:55","2025-06-17","_Quer saber se tem politicas públicas para idoso aqui em Muriaé
_Foi direcionado pra ela que tem sim o CCI na praça João Pinheiro Centro da cidade","Concluído","Outros","WhatsApp","Principal","Secretaria de Cultura"
"47399","215937","2025-07-08 11:42:02","2025-07-08 11:42:02","2025-06-17","_Solicitou que adiantasse a ressonância ombro direito com urgência muita dor ","aguardando execuçao","Exames de sangue","WhatsApp","Principal","Secretaria de Saúde"
"47400","212976","2025-07-08 11:44:58","2025-07-08 11:44:58","2025-06-17","_Solicitou a retirada de entulhos da sua porta, foi passado para empreiteira que retirasse","Concluído","Outros","WhatsApp","Principal","Secretaria de Obras"
"47401","206719","2025-07-08 11:52:05","2025-07-08 11:52:05","2025-06-17","_Saber a respeito do remédio para parar de fumar sr Manoel ","aguardando execuçao","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47403","210588","2025-07-08 11:56:23","2025-07-08 11:56:23","2025-06-18","_Solicitou uma receita médica medicamento uso continuo, foi passado para o médico e feita a receita
_Carbanazepina de 20mg/ml","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47404","214246","2025-07-08 12:02:19","2025-07-08 12:02:19","2025-06-23","_Solicitou a construção da capela mortuária e a concretagem do morro do Macuco
_Indicação feita aos responsaveis e obra começou dia 07/07/2025","aguardando execuçao","Outros","Pessoal","Principal","Secretaria de Obras"
"47406","215950","2025-07-08 12:09:38","2025-07-08 12:09:38","2025-06-23","_Solicitou que verificasse a cirurgia de varizes devido a espera na fila e muita dor nas pernas,
_Foi marcado para o dia 27/06/2025 e desmarcou na hora que a paciente chegou","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47408","215954","2025-07-08 12:14:09","2025-07-08 12:14:09","2025-06-23","_Exame de orelhinha
_Está na fila na cisleste pra ser chamada","aguardando execuçao","Exames de sangue","WhatsApp","Principal","Secretaria de Saúde"
"47411","206838","2025-07-08 12:17:08","2025-07-08 12:17:08","2025-06-23","_Postes apagados na vila Santa Rita foi passado para os responsáveis e arrumado no mesmo dia","Concluído","Iluminação","Pessoal","Principal","Secretaria de Obras"
"47413","206671","2025-07-08 12:23:38","2025-07-24 10:25:09","2025-06-24","_Solicitou que o Demsur arrumasse o serviço em frente ao N°43 rua 7 de Setembro Bairro Gaspar
Foi solicitado ao Demsur novamente dia 21/08 para verificar a obra","aguardando execuçao","Asfalto","WhatsApp","Principal","Secretaria de Obras"
"47417","211753","2025-07-08 13:18:45","2026-01-12 10:43:26","2025-06-25","Se tem como ajudar a marcar a operação de ernia do Gustavo mais rápido","aguardando execuçao","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47423","215995","2025-07-08 13:49:00","2025-07-08 13:49:00","2025-06-26","Marcar oftalmologista 
marcado dia 11/07 ás 12h","Concluído","Exames de sangue","WhatsApp","Principal","Secretaria de Saúde"
"47424","216010","2025-07-08 15:00:58","2025-07-08 15:00:58","2025-06-26","Ajuda na regularização referente a divergência de nome de rua no distrito de Vermelho (bairro José Eduardo)
Foi informada para ir na prefeitura, pedir no protocolo para fazer um processo no cadastro econômico, pedir certidão de endereço e levar na energisa trocar pra você.","Concluído","Outros","WhatsApp","Principal","Secretaria de Administração"
"47428","214246","2025-07-08 16:21:03","2025-07-08 16:21:03","2025-06-26","Pedir para arrumar poste apagado na Rua Isaldino de Abreu nº 350 Planalto
Solicitado a Nadine para realizar a manutenção","Concluído","Iluminação","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"47429","214246","2025-07-08 16:29:05","2025-07-15 14:42:35","2025-06-30","Solicita lixeiras para pracinha da parte alta do gaspar
Éder vai colocar
Foi realizado indicação ","Concluído","Limpeza","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"47435","214246","2025-07-09 08:21:35","2025-07-09 08:21:35","2025-06-30","_Fez indicação de cronogramas médicos e atendimentos
_Foi feita indicação","Concluído","Outros","WhatsApp","Principal","Secretaria de Saúde"
"47436","214246","2025-07-09 08:24:49","2025-07-09 08:24:49","2025-06-30","_Fez indicação ao setor do Demsur para arrumar o portão e os refletores da caixa d agua Rua Rosely Fitelman Bairro Gaspar ","aguardando execuçao","Outros","Pessoal","Principal","Secretaria de Serviços Urbanos"
"47437","214246","2025-07-09 08:28:26","2025-07-22 10:18:33","2025-06-30","_Solicitou que fisseze a desratização da rua 7 de Setembro rua toda moradores reclamando de muitos ratos e insetos peçonhetos ","Concluído","Limpeza","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"47438","216038","2025-07-09 08:34:36","2025-07-09 08:34:36","2025-06-30","_Solicitou que colocasse placas de sinalização na rua devido o fluxo de carros
_Foi feita indicação e passado para os responsáveis
_Rua São José em frente ao N°33 Bairro Napoleão","aguardando execuçao","Outros","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"47439","214246","2025-07-09 08:38:00","2025-07-09 08:38:00","2025-06-30","_Solicitou que arrumasse 4 postes da Rua Konstantino Gramatikopolos
_Foi passado para os responsáveis e resolvido no mesmo dia","Concluído","Iluminação","Pessoal","Principal","Secretaria de Serviços Urbanos"
"47441","216040","2025-07-09 09:00:20","2025-07-09 09:00:20","2025-07-01","_Entrou em contato para pedir a transferência do HSP para o hospital de Juiz de Fora 
_Fez a transferência da sua acompanhante para Muriaé 
_Fez a transferência da mãe e da nene","Concluído","Outros","WhatsApp","Principal","Secretaria de Saúde"
"47442","213477","2025-07-09 09:05:37","2025-07-09 09:05:37","2025-07-01","_Solicitou que sua cachorra precisava de atendimento veterinario para fazer exame
_Foi levada ao castra móvel para o atendimento","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47443","216041","2025-07-09 09:09:35","2025-07-09 09:09:35","2025-06-30","_Precisa fazer uma cirurgia de vesícula já está na fila 
_OBS: é uma criança","aguardando execuçao","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47444","216042","2025-07-09 09:17:11","2025-07-17 11:19:04","2025-06-25","_Solicitou que marcasse os seguintes exames
_Endoscopia digestiva alta Biopsia
_","Concluído","Exames de sangue","WhatsApp","Principal","Secretaria de Saúde"
"47445","216043","2025-07-09 09:21:49","2025-07-09 09:21:49","2025-06-20","_Solicitou o pedido de RNM do Crânio paciente está na fila e precisa fazer com urgência","aguardando execuçao","Exames de sangue","WhatsApp","Principal","Secretaria de Saúde"
"47446","214246","2025-07-09 09:24:35","2025-07-09 09:24:35","2025-05-20","_Solicitou que arrumasse o poste da rua 1 de Maio Bairra Gaspar onde caiu a roela do fio de alta tensão e 2 rondania foi passado para os responsáveis e feito o serviço","Concluído","Iluminação","Pessoal","Principal","Secretaria de Obras"
"47447","216044","2025-07-09 09:27:58","2025-07-09 09:27:58","2025-05-26","_Paciente precisa fazer cirurgia de vesicula já está na fila","aguardando execuçao","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47448","216045","2025-07-09 09:33:12","2025-07-09 09:33:12","2025-05-30","_Paciente precisa fazer cirurgia de AIH/ Catarata/Pterígio já está na fila","aguardando execuçao","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47449","216046","2025-07-09 09:38:45","2025-07-09 09:38:45","2025-06-02","_Solicitou redutores de velocidades (Sonorarização) rua com muito fluxo de carros
_Foi passado para os rensponsáveis e começado as demarcações das placas no bairro","Concluído","Outros","WhatsApp","Principal","Secretaria de Obras"
"47450","216047","2025-07-09 09:46:15","2025-07-09 09:46:15","2025-07-02","_Solicitou que o caminhão nde cata treco passase na rua muito entulho na calçada foi feito o pedido aos responsáveis e efetuado o serviço na rua","Concluído","Outros","WhatsApp","Principal","Secretaria de Obras"
"47452","212869","2025-07-09 09:49:48","2025-07-09 09:49:48","2025-07-02","_Solicitou que fizesse o velório da sua mãe foi passado para os responsáveis e feito","Concluído","Outros","WhatsApp","Principal","Ação Social"
"47455","216049","2025-07-09 10:53:51","2025-07-09 10:53:51","2025-07-02","_Solicitou que marcasse os exames de sangue 
_Foi marcado para o dia 04/07/2025 as 6:30 até as 8:00 no laboratório municipal","Concluído","Exames de sangue","WhatsApp","Principal","Secretaria de Saúde"
"47457","216050","2025-07-09 11:05:56","2025-07-09 11:05:56","2025-07-09","_Paciente precisa de consulta com Dr Wilson Batista para mostrar exames, foi marcada para o dia 21/07/2025 as 8:00 no ambulatorio por ordem de chegada","Concluído","Atendimento médico em ubs clinico geral","Pessoal","Principal","Secretaria de Saúde"
"47459","212900","2025-07-09 11:13:42","2025-07-17 10:48:09","2025-07-09","_Paciente precisa fazer RNM de membro inferior (unilateral) com urgência pericia marcada","Concluído","Exames de sangue","WhatsApp","Principal","Secretaria de Saúde"
"47461","216051","2025-07-09 11:21:18","2025-07-09 11:21:18","2025-07-07","_Paciente precisava de uma consulta com urgência e foi para vaga de desistência
_Consulta dia 08/072015 ás 6:00 hs na Policlinica Santa Terezinha Dr Thais ","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47473","216056","2025-07-09 12:00:38","2025-07-09 12:00:38","2025-07-09","_Solicitou mini postes na Rua Francisco Antenor De Paula Bairro Gaspar, rua muito escura dificil acesso para os moradores","aguardando execuçao","Iluminação","WhatsApp","Principal","Secretaria de Obras"
"47475","211023","2025-07-09 12:11:00","2025-07-09 12:11:00","2025-07-02","_Pciente precisa de consulta 
_Foi marcada no mesmo dia UBS Gaspar Dr Rebeca as 13:00","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"47477","216057","2025-07-09 12:23:34","2025-07-09 12:23:34","2025-06-16","_Fez o pedido de transporte para o campeonato Taekwondo dia 30/08/2025
_Foi feito o pedido na secretaria de educação e será levado as crianças do projeto","Concluído","Transportes solicitacao de viagens ","WhatsApp","Principal","Secretaria de Transporte"
"47478","211435","2025-07-09 12:27:17","2025-07-15 10:39:47","2025-07-08","_Solicitou que fizesse a limpeza da rua retirar os matos 
_Foi passado aos responsáveis e feita aretirada 09/07/2025","Concluído","Limpeza","WhatsApp","Principal","Secretaria de Obras"
"47483","214246","2025-07-09 14:17:34","2025-07-15 14:35:11","2025-07-08","Verificar os postes apagados da entrada do gaspar na pracinha, do Pedro da Roda até oficina do Serginho
Enviado para Nadine","Concluído","Iluminação","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"47506","214246","2025-07-10 09:16:18","2025-07-22 10:16:59","2025-06-17","_Solicitou ao setor de obras que os bueiros da Rua São João Batista no viradouro do ônibus fossem desentupidos, para evitar transtornos nas épocas de chuvas","Concluído","Saneamento, Água e Esgoto","Pessoal","Principal","Secretaria de Obras"
"47507","216068","2025-07-10 09:21:30","2025-07-10 09:21:30","2025-07-02","_Solicitou que marcasse tomografia com baixa radiação para o filho Luis Gustavo De Campos Alves 02/07/2024 foi marcada e feita dia 09/07/2025 no Sedim HPS","Concluído","Exames de sangue","WhatsApp","Principal","Secretaria de Saúde"
"47510","216069","2025-07-10 09:28:03","2025-07-10 09:28:03","2025-07-01","_Paciente precisa de fazer RNM da Pelve com urgência","aguardando execuçao","Exames de sangue","WhatsApp","Principal","Secretaria de Saúde"
"47514","216071","2025-07-10 09:31:58","2025-07-10 09:31:58","2025-06-24","_Paciente precisa fazer com urgência RNM lombo-sacro devido ao serviço exercido","aguardando execuçao","Exames de sangue","WhatsApp","Principal","Secretaria de Saúde"
"47515","216074","2025-07-10 09:39:31","2025-07-10 09:39:31","2025-07-02","_Paciente precisa de consulta com Ortopedista foi marcado para dia 03/07/2025 as 13hs no CAIC Dr Tiago","Concluído","Exames de sangue","WhatsApp","Principal","Secretaria de Saúde"
"47519","216075","2025-07-10 10:14:19","2025-07-10 10:14:19","2025-02-05","-Solicitou RNM da bacia com urgência foi marcada e feita para efutuar cirurgia Artroscopia no Quadril
Cirurgia marcada dia 02/07/2025","Concluído","Exames de sangue","WhatsApp","Principal","Secretaria de Saúde"
